net,length_um
WD3[24],44.04
RF.reg_arr\[26\]\[12\],43.99
WD3[10],43.95
_2521_,43.79
net11,43.58
WD3[0],43.55
_2564_,43.38
result[31],43.24
A3[1],43.23
_2567_,43.22
WE3,43.13
WD3[4],42.97
result[17],42.75
_2549_,42.7
WD3[27],42.66
result[7],42.63
net65,42.42
opcode[0],42.41
RF.reg_arr\[20\]\[25\],42.36
WD3[7],42.32
_2928_,42.28
net67,42.24
_2015_,42.2
WD3[22],42.18
result[3],42.11
WD3[26],41.72
WD3[6],41.7
result[9],41.64
result[29],41.62
_1206_,41.54
_2423_,41.46
opcode[1],41.27
WD3[8],41.16
result[14],41.16
result[19],41.16
result[25],41.16
result[11],41.02
_1620_,40.92
_1309_,40.88
_1577_,40.8
_2843_,40.74
result[5],40.71
result[10],40.7
result[20],40.7
result[23],40.7
net34,40.7
WD3[11],40.6
result[0],40.59
WD3[12],40.48
WD3[28],40.47
_1606_,40.4
_1550_,40.38
_1812_,40.34
_2511_,40.34
RF.reg_arr\[16\]\[20\],40.32
_2467_,40.32
result[24],40.26
result[27],40.26
WD3[1],40.25
result[26],40.24
result[30],40.24
result[8],40.24
_2004_,40.2
WD3[17],40.13
WD3[31],40.13
_1321_,40.1
result[1],40.03
result[2],40.03
WD3[5],40.02
result[13],39.91
_2525_,39.88
RF.reg_arr\[20\]\[3\],39.82
result[28],39.8
result[15],39.69
_2379_,39.6
A1[0],39.57
_2353_,39.5
WD3[16],39.45
_2586_,39.45
RF.reg_arr\[25\]\[26\],39.4
result[12],39.35
result[18],39.35
result[16],39.34
result[6],39.34
result[4],39.23
_2600_,39.14
WD3[18],39.11
RF.reg_arr\[21\]\[20\],39.04
_1754_,38.99
WD3[25],38.98
_1423_,38.97
_2283_,38.92
result[21],38.89
RF.reg_arr\[15\]\[11\],38.84
WD3[29],38.77
RF.reg_arr\[28\]\[27\],38.72
WD3[21],38.64
_1739_,38.51
_2491_,38.44
WD3[30],38.43
result[22],38.42
_2596_,38.32
_3702_,38.235
_1301_,38.22
_1763_,38.2
WD3[13],38.18
WD3[15],38.18
_1526_,38.14
net2,37.99
_2617_,37.96
_2124_,37.84
_2463_,37.84
RF.reg_arr\[15\]\[18\],37.76
_1458_,37.76
_1799_,37.74
_1672_,37.7
_2665_,37.68
_2471_,37.56
_1581_,37.54
_2718_,37.5
clknet_leaf_80_CLK,37.44
_2058_,37.4
_2616_,37.4
_2400_,36.96
_2235_,36.94
_1734_,36.85
RF.reg_arr\[30\]\[31\],36.835
_2435_,36.82
_2492_,36.82
_2661_,36.72
_2709_,36.66
_2196_,36.64
_3267_,36.28
_2738_,36.275
RF.reg_arr\[30\]\[4\],35.855
_1183_,35.58
_1640_,35.54
net13,35.3
_1362_,35.18
_2074_,35.17
RF.reg_arr\[12\]\[10\],35.12
RF.reg_arr\[1\]\[9\],35.06
RF.reg_arr\[31\]\[31\],35.06
_2784_,35.06
_2857_,34.98
_1040_,34.96
_2300_,34.94
_2631_,34.78
RF.reg_arr\[24\]\[12\],34.72
_2462_,34.7
_1153_,34.64
RF.reg_arr\[28\]\[15\],34.62
_1404_,34.57
_3158_,34.52
_1260_,34.48
_1855_,34.18
_2846_,34.14
RF.reg_arr\[6\]\[19\],34.09
_1493_,33.99
_2614_,33.78
_2823_,33.78
_2495_,33.74
_2558_,33.73
_2715_,33.71
RF.reg_arr\[30\]\[3\],33.66
RF.reg_arr\[26\]\[27\],33.62
_1470_,33.6
_2736_,33.6
RF.reg_arr\[16\]\[11\],33.52
_2969_,33.42
_1217_,33.34
RF.reg_arr\[12\]\[31\],33.24
_1974_,33.18
clknet_leaf_8_CLK,33.18
RF.reg_arr\[14\]\[18\],33.15
net72,33.12
_2619_,33.11
_2885_,33
_2632_,32.92
_2507_,32.7
RF.reg_arr\[22\]\[17\],32.675
_2688_,32.62
_1929_,32.5
_2429_,32.49
RF.reg_arr\[21\]\[7\],32.475
RF.reg_arr\[16\]\[4\],32.38
RF.reg_arr\[23\]\[17\],32.33
_2574_,32.32
RF.reg_arr\[2\]\[12\],32.19
RF.reg_arr\[18\]\[11\],32.085
net1,32.06
_2852_,31.92
_1687_,31.86
RF.reg_arr\[11\]\[29\],31.8
_2748_,31.78
RF.reg_arr\[7\]\[19\],31.74
_2468_,31.72
RF.reg_arr\[21\]\[24\],31.64
_2707_,31.54
RF.reg_arr\[15\]\[24\],31.42
RF.reg_arr\[26\]\[11\],31.405
RF.reg_arr\[27\]\[12\],31.38
_1690_,31.36
RF.reg_arr\[15\]\[19\],31.3
net30,31.24
_1722_,31.12
